,Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
85,,"Gilmer County, WV",54021.0,2011.0,2011.0,73.0,8705.0,838.6
86,,"Gilmer County, WV",54021.0,2012.0,2012.0,82.0,8732.0,939.1
88,,"Grant County, WV",54023.0,2006.0,2006.0,124.0,11834.0,1047.8
89,,"Grant County, WV",54023.0,2007.0,2007.0,111.0,11969.0,927.4
90,,"Grant County, WV",54023.0,2008.0,2008.0,116.0,12022.0,964.9
91,,"Grant County, WV",54023.0,2009.0,2009.0,108.0,11963.0,902.8
92,,"Grant County, WV",54023.0,2010.0,2010.0,119.0,11937.0,996.9
93,,"Grant County, WV",54023.0,2011.0,2011.0,141.0,11891.0,1185.8
94,,"Grant County, WV",54023.0,2012.0,2012.0,127.0,11816.0,1074.8
96,,"Greenbrier County, WV",54025.0,2006.0,2006.0,442.0,35196.0,1255.8
97,,"Greenbrier County, WV",54025.0,2007.0,2007.0,428.0,35354.0,1210.6
98,,"Greenbrier County, WV",54025.0,2008.0,2008.0,498.0,35457.0,1404.5
99,,"Greenbrier County, WV",54025.0,2009.0,2009.0,483.0,35351.0,1366.3
100,,"Greenbrier County, WV",54025.0,2010.0,2010.0,458.0,35480.0,1290.9
101,,"Greenbrier County, WV",54025.0,2011.0,2011.0,529.0,35800.0,1477.7
102,,"Greenbrier County, WV",54025.0,2012.0,2012.0,467.0,35820.0,1303.7
104,,"Hampshire County, WV",54027.0,2006.0,2006.0,194.0,23016.0,842.9
105,,"Hampshire County, WV",54027.0,2007.0,2007.0,205.0,23492.0,872.6
106,,"Hampshire County, WV",54027.0,2008.0,2008.0,208.0,23664.0,879.0
107,,"Hampshire County, WV",54027.0,2009.0,2009.0,220.0,23820.0,923.6
108,,"Hampshire County, WV",54027.0,2010.0,2010.0,246.0,23964.0,1026.5
109,,"Hampshire County, WV",54027.0,2011.0,2011.0,253.0,23812.0,1062.5
110,,"Hampshire County, WV",54027.0,2012.0,2012.0,251.0,23709.0,1058.7
112,,"Hancock County, WV",54029.0,2006.0,2006.0,392.0,31266.0,1253.8
113,,"Hancock County, WV",54029.0,2007.0,2007.0,402.0,30887.0,1301.5
114,,"Hancock County, WV",54029.0,2008.0,2008.0,419.0,30802.0,1360.3
115,,"Hancock County, WV",54029.0,2009.0,2009.0,430.0,30748.0,1398.5
116,,"Hancock County, WV",54029.0,2010.0,2010.0,381.0,30676.0,1242.0
117,,"Hancock County, WV",54029.0,2011.0,2011.0,388.0,30571.0,1269.2
