County,Year,Population,Deaths
pleasants,2012,7595,103
pocahontas,2006,8938,123
pocahontas,2007,8851,117
pocahontas,2008,8807,107
pocahontas,2009,8746,110
pocahontas,2010,8719,115
pocahontas,2011,8786,91
pocahontas,2012,8692,107
preston,2006,32238,303
preston,2007,32743,329
preston,2008,33067,340
preston,2009,33333,311
preston,2010,33520,319
preston,2011,33723,336
preston,2012,33832,362
putnam,2006,54207,453
putnam,2007,54669,472
putnam,2008,55051,535
putnam,2009,55178,504
putnam,2010,55486,504
putnam,2011,56008,510
putnam,2012,56435,582
raleigh,2006,78178,902
raleigh,2007,78323,962
raleigh,2008,78379,919
raleigh,2009,78782,990
raleigh,2010,78859,1012
raleigh,2011,79127,986
raleigh,2012,79021,1071
randolph,2006,29049,337
randolph,2007,29113,307
randolph,2008,29236,338
randolph,2009,29381,352
randolph,2010,29405,310
randolph,2011,29465,362
randolph,2012,29384,355
ritchie,2006,10588,134
ritchie,2007,10558,119
ritchie,2008,10516,128
ritchie,2009,10478,139
ritchie,2010,10449,119
ritchie,2011,10295,122
ritchie,2012,10236,126
roane,2006,15442,178
roane,2007,15215,201
roane,2008,15048,189
roane,2009,14966,177
roane,2010,14926,169
roane,2011,14858,176
roane,2012,14684,191
summers,2006,13879,146
summers,2007,13842,152
summers,2008,13712,198
summers,2009,13882,159
summers,2010,13927,206
summers,2011,13867,207
summers,2012,13737,171
taylor,2006,16498,164
taylor,2007,16640,171
taylor,2008,16792,195
taylor,2009,16838,180
taylor,2010,16895,199
taylor,2011,16916,203
taylor,2012,16991,179
tucker,2006,7111,78
tucker,2007,7117,87
tucker,2008,7160,83
tucker,2009,7172,107
tucker,2010,7141,94
tucker,2011,7021,91
tucker,2012,6995,88
tyler,2006,9484,106
tyler,2007,9423,112
tyler,2008,9363,109
tyler,2009,9249,103
tyler,2010,9208,127
tyler,2011,9121,152
tyler,2012,9037,124
upshur,2006,23754,260
upshur,2007,23851,273
upshur,2008,23929,238
upshur,2009,24124,258
upshur,2010,24254,258
upshur,2011,24322,252
upshur,2012,24477,261
wayne,2006,42717,468
wayne,2007,42727,436
wayne,2008,42767,445
wayne,2009,42637,483
wayne,2010,42481,482
wayne,2011,42126,456
wayne,2012,41649,459
webster,2006,9391,128
webster,2007,9260,121
webster,2008,9260,110
webster,2009,9167,117
webster,2010,9154,98
webster,2011,9143,131
webster,2012,9043,128
wetzel,2006,16917,219
wetzel,2007,16764,206
wetzel,2008,16645,206
wetzel,2009,16588,230
wetzel,2010,16583,215
wetzel,2011,16351,227
wetzel,2012,16422,227
wirt,2006,5791,59
wirt,2007,5806,49
wirt,2008,5745,68
wirt,2009,5703,54
wirt,2010,5717,61
wirt,2011,5762,62
wirt,2012,5847,52
wood,2006,86552,936
wood,2007,86489,950
wood,2008,86783,1019
wood,2009,86841,1021
wood,2010,86956,989
wood,2011,87120,1039
wood,2012,86701,1007
wyoming,2006,24288,290
wyoming,2007,24078,313
wyoming,2008,23957,315
wyoming,2009,23899,344
wyoming,2010,23796,320
wyoming,2011,23419,345
wyoming,2012,23273,351
