"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Gilmer County, WV"	"54021"	"2012"	"2012"	82	8732	939.1
"Total"	"Gilmer County, WV"	"54021"			569	59398	957.9
	"Grant County, WV"	"54023"	"2006"	"2006"	124	11834	1047.8
	"Grant County, WV"	"54023"	"2007"	"2007"	111	11969	927.4
	"Grant County, WV"	"54023"	"2008"	"2008"	116	12022	964.9
	"Grant County, WV"	"54023"	"2009"	"2009"	108	11963	902.8
	"Grant County, WV"	"54023"	"2010"	"2010"	119	11937	996.9
	"Grant County, WV"	"54023"	"2011"	"2011"	141	11891	1185.8
	"Grant County, WV"	"54023"	"2012"	"2012"	127	11816	1074.8
"Total"	"Grant County, WV"	"54023"			846	83432	1014.0
	"Greenbrier County, WV"	"54025"	"2006"	"2006"	442	35196	1255.8
	"Greenbrier County, WV"	"54025"	"2007"	"2007"	428	35354	1210.6
	"Greenbrier County, WV"	"54025"	"2008"	"2008"	498	35457	1404.5
	"Greenbrier County, WV"	"54025"	"2009"	"2009"	483	35351	1366.3
	"Greenbrier County, WV"	"54025"	"2010"	"2010"	458	35480	1290.9
	"Greenbrier County, WV"	"54025"	"2011"	"2011"	529	35800	1477.7
	"Greenbrier County, WV"	"54025"	"2012"	"2012"	467	35820	1303.7
"Total"	"Greenbrier County, WV"	"54025"			3305	248458	1330.2
	"Hampshire County, WV"	"54027"	"2006"	"2006"	194	23016	842.9
	"Hampshire County, WV"	"54027"	"2007"	"2007"	205	23492	872.6
	"Hampshire County, WV"	"54027"	"2008"	"2008"	208	23664	879.0
	"Hampshire County, WV"	"54027"	"2009"	"2009"	220	23820	923.6
	"Hampshire County, WV"	"54027"	"2010"	"2010"	246	23964	1026.5
	"Hampshire County, WV"	"54027"	"2011"	"2011"	253	23812	1062.5
	"Hampshire County, WV"	"54027"	"2012"	"2012"	251	23709	1058.7
"Total"	"Hampshire County, WV"	"54027"			1577	165477	953.0
	"Hancock County, WV"	"54029"	"2006"	"2006"	392	31266	1253.8
	"Hancock County, WV"	"54029"	"2007"	"2007"	402	30887	1301.5
	"Hancock County, WV"	"54029"	"2008"	"2008"	419	30802	1360.3
	"Hancock County, WV"	"54029"	"2009"	"2009"	430	30748	1398.5
	"Hancock County, WV"	"54029"	"2010"	"2010"	381	30676	1242.0
	"Hancock County, WV"	"54029"	"2011"	"2011"	388	30571	1269.2
	"Hancock County, WV"	"54029"	"2012"	"2012"	440	30305	1451.9
"Total"	"Hancock County, WV"	"54029"			2852	215255	1324.9
