"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Tyler County, WV"	"54095"	"2007"	"2007"	112	9423	1188.6
	"Tyler County, WV"	"54095"	"2008"	"2008"	109	9363	1164.2
	"Tyler County, WV"	"54095"	"2009"	"2009"	103	9249	1113.6
	"Tyler County, WV"	"54095"	"2010"	"2010"	127	9208	1379.2
	"Tyler County, WV"	"54095"	"2011"	"2011"	152	9121	1666.5
	"Tyler County, WV"	"54095"	"2012"	"2012"	124	9037	1372.1
"Total"	"Tyler County, WV"	"54095"			833	64885	1283.8
	"Upshur County, WV"	"54097"	"2006"	"2006"	260	23754	1094.6
	"Upshur County, WV"	"54097"	"2007"	"2007"	273	23851	1144.6
	"Upshur County, WV"	"54097"	"2008"	"2008"	238	23929	994.6
	"Upshur County, WV"	"54097"	"2009"	"2009"	258	24124	1069.5
	"Upshur County, WV"	"54097"	"2010"	"2010"	258	24254	1063.7
	"Upshur County, WV"	"54097"	"2011"	"2011"	252	24322	1036.1
	"Upshur County, WV"	"54097"	"2012"	"2012"	261	24477	1066.3
"Total"	"Upshur County, WV"	"54097"			1800	168711	1066.9
	"Wayne County, WV"	"54099"	"2006"	"2006"	468	42717	1095.6
	"Wayne County, WV"	"54099"	"2007"	"2007"	436	42727	1020.4
	"Wayne County, WV"	"54099"	"2008"	"2008"	445	42767	1040.5
	"Wayne County, WV"	"54099"	"2009"	"2009"	483	42637	1132.8
	"Wayne County, WV"	"54099"	"2010"	"2010"	482	42481	1134.6
	"Wayne County, WV"	"54099"	"2011"	"2011"	456	42126	1082.5
	"Wayne County, WV"	"54099"	"2012"	"2012"	459	41649	1102.1
"Total"	"Wayne County, WV"	"54099"			3229	297104	1086.8
	"Webster County, WV"	"54101"	"2006"	"2006"	128	9391	1363.0
	"Webster County, WV"	"54101"	"2007"	"2007"	121	9260	1306.7
	"Webster County, WV"	"54101"	"2008"	"2008"	110	9260	1187.9
	"Webster County, WV"	"54101"	"2009"	"2009"	117	9167	1276.3
	"Webster County, WV"	"54101"	"2010"	"2010"	98	9154	1070.6
	"Webster County, WV"	"54101"	"2011"	"2011"	131	9143	1432.8
	"Webster County, WV"	"54101"	"2012"	"2012"	128	9043	1415.5
"Total"	"Webster County, WV"	"54101"			833	64418	1293.1
	"Wetzel County, WV"	"54103"	"2006"	"2006"	219	16917	1294.6
	"Wetzel County, WV"	"54103"	"2007"	"2007"	206	16764	1228.8
	"Wetzel County, WV"	"54103"	"2008"	"2008"	206	16645	1237.6
	"Wetzel County, WV"	"54103"	"2009"	"2009"	230	16588	1386.5
	"Wetzel County, WV"	"54103"	"2010"	"2010"	215	16583	1296.5
	"Wetzel County, WV"	"54103"	"2011"	"2011"	227	16351	1388.3
	"Wetzel County, WV"	"54103"	"2012"	"2012"	227	16422	1382.3
"Total"	"Wetzel County, WV"	"54103"			1530	116270	1315.9
	"Wirt County, WV"	"54105"	"2006"	"2006"	59	5791	1018.8
	"Wirt County, WV"	"54105"	"2007"	"2007"	49	5806	844.0
	"Wirt County, WV"	"54105"	"2008"	"2008"	68	5745	1183.6
	"Wirt County, WV"	"54105"	"2009"	"2009"	54	5703	946.9
	"Wirt County, WV"	"54105"	"2010"	"2010"	61	5717	1067.0
	"Wirt County, WV"	"54105"	"2011"	"2011"	62	5762	1076.0
	"Wirt County, WV"	"54105"	"2012"	"2012"	52	5847	889.3
"Total"	"Wirt County, WV"	"54105"			405	40371	1003.2
	"Wood County, WV"	"54107"	"2006"	"2006"	936	86552	1081.4
	"Wood County, WV"	"54107"	"2007"	"2007"	950	86489	1098.4
	"Wood County, WV"	"54107"	"2008"	"2008"	1019	86783	1174.2
	"Wood County, WV"	"54107"	"2009"	"2009"	1021	86841	1175.7
	"Wood County, WV"	"54107"	"2010"	"2010"	989	86956	1137.4
	"Wood County, WV"	"54107"	"2011"	"2011"	1039	87120	1192.6
	"Wood County, WV"	"54107"	"2012"	"2012"	1007	86701	1161.5
"Total"	"Wood County, WV"	"54107"			6961	607442	1146.0
	"Wyoming County, WV"	"54109"	"2006"	"2006"	290	24288	1194.0
	"Wyoming County, WV"	"54109"	"2007"	"2007"	313	24078	1299.9
	"Wyoming County, WV"	"54109"	"2008"	"2008"	315	23957	1314.9
	"Wyoming County, WV"	"54109"	"2009"	"2009"	344	23899	1439.4
	"Wyoming County, WV"	"54109"	"2010"	"2010"	320	23796	1344.8
	"Wyoming County, WV"	"54109"	"2011"	"2011"	345	23419	1473.2
	"Wyoming County, WV"	"54109"	"2012"	"2012"	351	23273	1508.2
"Total"	"Wyoming County, WV"	"54109"			2278	166710	1366.4
"Total"					149758	12913820	1159.7
"---"
"Dataset: Underlying Cause of Death, 1999-2017"
"Query Parameters:"
"States: West Virginia (54)"
"Year/Month: 2006; 2007; 2008; 2009; 2010; 2011; 2012"
"Group By: County; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Nov 7, 2019 7:44:56 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Nov 7, 2019 7:44:56 PM"
"---"
Caveats:
"1. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1"
"Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from"
"the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are"
"April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population"
"figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 -"
"2009 differ slightly from previously published reports, due to use of the population estimates which were available at the time"
"of release."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
