County,State,Year,Population,Deaths
Mercer,WV,2012,62523,912
Mineral,WV,2006,27324,321
Mineral,WV,2007,27532,277
Mineral,WV,2008,27824,287
Mineral,WV,2009,28080,331
Mineral,WV,2010,28212,327
Mineral,WV,2011,28192,319
Mineral,WV,2012,27956,310
Mingo,WV,2006,27054,392
Mingo,WV,2007,27145,353
Mingo,WV,2008,26850,378
Mingo,WV,2009,26943,369
Mingo,WV,2010,26839,360
Mingo,WV,2011,26563,369
Mingo,WV,2012,26103,349
Monongalia,WV,2006,89656,599
Monongalia,WV,2007,90764,630
Monongalia,WV,2008,92200,634
Monongalia,WV,2009,94165,614
Monongalia,WV,2010,96189,617
Monongalia,WV,2011,98528,650
Monongalia,WV,2012,100332,651
Monroe,WV,2006,13382,145
Monroe,WV,2007,13452,165
Monroe,WV,2008,13607,165
Monroe,WV,2009,13543,153
Monroe,WV,2010,13502,175
Monroe,WV,2011,13534,173
Monroe,WV,2012,13463,166
Morgan,WV,2006,17038,183
Morgan,WV,2007,17410,181
Morgan,WV,2008,17520,196
Morgan,WV,2009,17580,194
Morgan,WV,2010,17541,212
Morgan,WV,2011,17535,194
Morgan,WV,2012,17471,190
Nicholas,WV,2006,26205,324
Nicholas,WV,2007,26130,320
Nicholas,WV,2008,26138,326
Nicholas,WV,2009,26253,328
Nicholas,WV,2010,26233,325
Nicholas,WV,2011,26268,341
Nicholas,WV,2012,26229,356
Ohio,WV,2006,44925,549
Ohio,WV,2007,44714,611
Ohio,WV,2008,44469,571
Ohio,WV,2009,44355,609
Ohio,WV,2010,44443,557
Ohio,WV,2011,44246,580
Ohio,WV,2012,44075,630
Pendleton,WV,2006,7922,95
Pendleton,WV,2007,7792,97
Pendleton,WV,2008,7761,106
Pendleton,WV,2009,7701,68
Pendleton,WV,2010,7695,94
Pendleton,WV,2011,7673,104
Pendleton,WV,2012,7566,103
Pleasants,WV,2006,7670,68
Pleasants,WV,2007,7698,79
Pleasants,WV,2008,7702,83
Pleasants,WV,2009,7672,82
Pleasants,WV,2010,7605,90
Pleasants,WV,2011,7611,104
Pleasants,WV,2012,7595,103
Pocahontas,WV,2006,8938,123
Pocahontas,WV,2007,8851,117
Pocahontas,WV,2008,8807,107
Pocahontas,WV,2009,8746,110
Pocahontas,WV,2010,8719,115
Pocahontas,WV,2011,8786,91
Pocahontas,WV,2012,8692,107
Preston,WV,2006,32238,303
Preston,WV,2007,32743,329
Preston,WV,2008,33067,340
Preston,WV,2009,33333,311
Preston,WV,2010,33520,319
Preston,WV,2011,33723,336
Preston,WV,2012,33832,362
Putnam,WV,2006,54207,453
Putnam,WV,2007,54669,472
Putnam,WV,2008,55051,535
Putnam,WV,2009,55178,504
Putnam,WV,2010,55486,504
Putnam,WV,2011,56008,510
Putnam,WV,2012,56435,582
Raleigh,WV,2006,78178,902
Raleigh,WV,2007,78323,962
Raleigh,WV,2008,78379,919
Raleigh,WV,2009,78782,990
Raleigh,WV,2010,78859,1012
Raleigh,WV,2011,79127,986
Raleigh,WV,2012,79021,1071
Randolph,WV,2006,29049,337
Randolph,WV,2007,29113,307
Randolph,WV,2008,29236,338
Randolph,WV,2009,29381,352
Randolph,WV,2010,29405,310
Randolph,WV,2011,29465,362
Randolph,WV,2012,29384,355
Ritchie,WV,2006,10588,134
Ritchie,WV,2007,10558,119
Ritchie,WV,2008,10516,128
Ritchie,WV,2009,10478,139
Ritchie,WV,2010,10449,119
Ritchie,WV,2011,10295,122
Ritchie,WV,2012,10236,126
Roane,WV,2006,15442,178
Roane,WV,2007,15215,201
Roane,WV,2008,15048,189
Roane,WV,2009,14966,177
Roane,WV,2010,14926,169
Roane,WV,2011,14858,176
Roane,WV,2012,14684,191
Summers,WV,2006,13879,146
Summers,WV,2007,13842,152
Summers,WV,2008,13712,198
Summers,WV,2009,13882,159
Summers,WV,2010,13927,206
Summers,WV,2011,13867,207
Summers,WV,2012,13737,171
Taylor,WV,2006,16498,164
Taylor,WV,2007,16640,171
Taylor,WV,2008,16792,195
Taylor,WV,2009,16838,180
Taylor,WV,2010,16895,199
Taylor,WV,2011,16916,203
Taylor,WV,2012,16991,179
Tucker,WV,2006,7111,78
Tucker,WV,2007,7117,87
Tucker,WV,2008,7160,83
Tucker,WV,2009,7172,107
Tucker,WV,2010,7141,94
Tucker,WV,2011,7021,91
Tucker,WV,2012,6995,88
Tyler,WV,2006,9484,106
Tyler,WV,2007,9423,112
Tyler,WV,2008,9363,109
Tyler,WV,2009,9249,103
Tyler,WV,2010,9208,127
Tyler,WV,2011,9121,152
Tyler,WV,2012,9037,124
Upshur,WV,2006,23754,260
Upshur,WV,2007,23851,273
Upshur,WV,2008,23929,238
Upshur,WV,2009,24124,258
Upshur,WV,2010,24254,258
Upshur,WV,2011,24322,252
Upshur,WV,2012,24477,261
Wayne,WV,2006,42717,468
Wayne,WV,2007,42727,436
Wayne,WV,2008,42767,445
Wayne,WV,2009,42637,483
Wayne,WV,2010,42481,482
Wayne,WV,2011,42126,456
Wayne,WV,2012,41649,459
Webster,WV,2006,9391,128
Webster,WV,2007,9260,121
Webster,WV,2008,9260,110
Webster,WV,2009,9167,117
Webster,WV,2010,9154,98
Webster,WV,2011,9143,131
Webster,WV,2012,9043,128
Wetzel,WV,2006,16917,219
Wetzel,WV,2007,16764,206
Wetzel,WV,2008,16645,206
Wetzel,WV,2009,16588,230
Wetzel,WV,2010,16583,215
Wetzel,WV,2011,16351,227
Wetzel,WV,2012,16422,227
Wirt,WV,2006,5791,59
Wirt,WV,2007,5806,49
Wirt,WV,2008,5745,68
Wirt,WV,2009,5703,54
Wirt,WV,2010,5717,61
Wirt,WV,2011,5762,62
Wirt,WV,2012,5847,52
Wood,WV,2006,86552,936
Wood,WV,2007,86489,950
Wood,WV,2008,86783,1019
Wood,WV,2009,86841,1021
Wood,WV,2010,86956,989
Wood,WV,2011,87120,1039
Wood,WV,2012,86701,1007
Wyoming,WV,2006,24288,290
Wyoming,WV,2007,24078,313
Wyoming,WV,2008,23957,315
Wyoming,WV,2009,23899,344
Wyoming,WV,2010,23796,320
Wyoming,WV,2011,23419,345
Wyoming,WV,2012,23273,351
